parent_title,parent_icd,icd_title,icd_code,icd_category_aliases
Certain infectious and parasitic diseases,A00–B99,Intestinal infectious diseases,A00-A09,
Certain infectious and parasitic diseases,A00–B99,Tuberculosis,A15-A19,
Certain infectious and parasitic diseases,A00–B99,Certain zoonotic bacterial diseases,A20-A28,
Certain infectious and parasitic diseases,A00–B99,Other bacterial diseases,A30-A49,
Certain infectious and parasitic diseases,A00–B99,Infections with a predominantly sexual mode of transmission,A50-A64,
Certain infectious and parasitic diseases,A00–B99,Other spirochaetal diseases,A65-A69,
Certain infectious and parasitic diseases,A00–B99,Other diseases caused by chlamydiae,A70-A74,
Certain infectious and parasitic diseases,A00–B99,Rickettsioses,A75-A79,
Certain infectious and parasitic diseases,A00–B99,Viral infections of the central nervous system,A80-A89,
Certain infectious and parasitic diseases,A00–B99,Arthropod-borne viral fevers and viral haemorrhagic fevers,A92-A99,A90;A91
Certain infectious and parasitic diseases,A00–B99,Viral infections characterized by skin and mucous membrane lesions,B00-B09,B10
Certain infectious and parasitic diseases,A00–B99,Viral hepatitis,B15-B19,
Certain infectious and parasitic diseases,A00–B99,Human immunodeficiency virus [HIV] disease,B20-B24,
Certain infectious and parasitic diseases,A00–B99,Other viral diseases,B25-B34,
Certain infectious and parasitic diseases,A00–B99,Mycoses,B35-B49,
Certain infectious and parasitic diseases,A00–B99,Protozoal diseases,B50-B64,
Certain infectious and parasitic diseases,A00–B99,Helminthiases,B65-B83,
Certain infectious and parasitic diseases,A00–B99,"Pediculosis, acariasis and other infestations",B85-B89,
Certain infectious and parasitic diseases,A00–B99,Sequelae of infectious and parasitic diseases,B90-B94,
Certain infectious and parasitic diseases,A00–B99,"Bacterial, viral and other infectious agents",B95-B98,
Certain infectious and parasitic diseases,A00–B99,Other infectious diseases,B99,
Neoplasms,C00–D48,Malignant neoplasms,C00-C97,C7A
Neoplasms,C00–D48,"Malignant neoplasms of lip, oral cavity and pharynx",C00-C14,
Neoplasms,C00–D48,Malignant neoplasms of digestive organs,C15-C26,
Neoplasms,C00–D48,Malignant neoplasms of respiratory and intrathoracic organs,C30-C39,
Neoplasms,C00–D48,Malignant neoplasms of bone and articular cartilage,C40-C41,
Neoplasms,C00–D48,Melanoma and other malignant neoplasms of skin,C43-C44,C4A
Neoplasms,C00–D48,Malignant neoplasms of mesothelial and soft tissue,C45-C49,
Neoplasms,C00–D48,Malignant neoplasm of breast,C50,
Neoplasms,C00–D48,Malignant neoplasms of female genital organs,C51-C58,
Neoplasms,C00–D48,Malignant neoplasms of male genital organs,C60-C63,
Neoplasms,C00–D48,Malignant neoplasms of urinary tract,C64-C68,
Neoplasms,C00–D48,"Malignant neoplasms of eye, brain and other parts of central nervous system",C69-C72,
Neoplasms,C00–D48,Malignant neoplasms of thyroid and other endocrine glands,C73-C75,
Neoplasms,C00–D48,"Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,C7B
Neoplasms,C00–D48,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C81-C96,
Neoplasms,C00–D48,Malignant neoplasms of independent (primary) multiple sites,C97,
Neoplasms,C00–D48,In situ neoplasms,D00-D09,
Neoplasms,C00–D48,Benign neoplasms,D10-D36,D3A
Neoplasms,C00–D48,Neoplasms of uncertain or unknown behaviour,D37-D48,D49
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50–D89,Nutritional anaemias,D50-D53,
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50–D89,Haemolytic anaemias,D55-D59,
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50–D89,Aplastic and other anaemias,D60-D64,
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50–D89,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50–D89,Other diseases of blood and blood-forming organs,D70-D77,D78
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50–D89,Certain disorders involving the immune mechanism,D80-D89,
"Endocrine, nutritional and metabolic diseases",E00–E90,Disorders of thyroid gland,E00-E07,
"Endocrine, nutritional and metabolic diseases",E00–E90,Diabetes mellitus,E10-E14,E08;E09
"Endocrine, nutritional and metabolic diseases",E00–E90,Other disorders of glucose regulation and pancreatic internal secretion,E15-E16,
"Endocrine, nutritional and metabolic diseases",E00–E90,Disorders of other endocrine glands,E20-E35,E36
"Endocrine, nutritional and metabolic diseases",E00–E90,Malnutrition,E40-E46,
"Endocrine, nutritional and metabolic diseases",E00–E90,Other nutritional deficiencies,E50-E64,
"Endocrine, nutritional and metabolic diseases",E00–E90,Obesity and other hyperalimentation,E65-E68,
"Endocrine, nutritional and metabolic diseases",E00–E90,Metabolic disorders,E70-E90,
Mental and behavioural disorders,F00–F99,"Organic, including symptomatic, mental disorders",F00-F09,
Mental and behavioural disorders,F00–F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,
Mental and behavioural disorders,F00–F99,"Schizophrenia, schizotypal and delusional disorders",F20-F29,
Mental and behavioural disorders,F00–F99,Mood [affective] disorders,F30-F39,
Mental and behavioural disorders,F00–F99,"Neurotic, stress-related and somatoform disorders",F40-F48,
Mental and behavioural disorders,F00–F99,Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,
Mental and behavioural disorders,F00–F99,Disorders of adult personality and behaviour,F60-F69,
Mental and behavioural disorders,F00–F99,Mental retardation,F70-F79,
Mental and behavioural disorders,F00–F99,Disorders of psychological development,F80-F89,
Mental and behavioural disorders,F00–F99,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F90-F98,
Mental and behavioural disorders,F00–F99,Unspecified mental disorder,F99,
Diseases of the nervous system,G00–G99,Inflammatory diseases of the central nervous system,G00-G09,
Diseases of the nervous system,G00–G99,Systemic atrophies primarily affecting the central nervous system,G10-G14,
Diseases of the nervous system,G00–G99,Extrapyramidal and movement disorders,G20-G26,
Diseases of the nervous system,G00–G99,Other degenerative diseases of the nervous system,G30-G32,
Diseases of the nervous system,G00–G99,Demyelinating diseases of the central nervous system,G35-G37,
Diseases of the nervous system,G00–G99,Episodic and paroxysmal disorders,G40-G47,
Diseases of the nervous system,G00–G99,"Nerve, nerve root and plexus disorders",G50-G59,
Diseases of the nervous system,G00–G99,Polyneuropathies and other disorders of the peripheral nervous system,G60-G64,G65
Diseases of the nervous system,G00–G99,Diseases of myoneural junction and muscle,G70-G73,
Diseases of the nervous system,G00–G99,Cerebral palsy and other paralytic syndromes,G80-G83,
Diseases of the nervous system,G00–G99,Other disorders of the nervous system,G90-G99,G89
Diseases of the eye and adnexa,H00–H59,"Disorders of eyelid, lacrimal system and orbit",H00-H06,
Diseases of the eye and adnexa,H00–H59,Disorders of conjunctiva,H10-H13,
Diseases of the eye and adnexa,H00–H59,"Disorders of sclera, cornea, iris and ciliary body",H15-H22,
Diseases of the eye and adnexa,H00–H59,Disorders of lens,H25-H28,
Diseases of the eye and adnexa,H00–H59,Disorders of choroid and retina,H30-H36,
Diseases of the eye and adnexa,H00–H59,Glaucoma,H40-H42,
Diseases of the eye and adnexa,H00–H59,Disorders of vitreous body and globe,H43-H45,
Diseases of the eye and adnexa,H00–H59,Disorders of optic nerve and visual pathways,H46-H48,
Diseases of the eye and adnexa,H00–H59,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49-H52,
