icd_title,icd_code,test_tag
Intestinal infectious diseases,A00-A09,Infection Markers
Intestinal infectious diseases,A00-A09,Microbiology/Infection
Intestinal infectious diseases,A00-A09,Others
Tuberculosis,A15-A19,Infection Markers
Tuberculosis,A15-A19,Microbiology/Infection
Tuberculosis,A15-A19,Others
Certain zoonotic bacterial diseases,A20-A28,Infection Markers
Certain zoonotic bacterial diseases,A20-A28,Microbiology/Infection
Other bacterial diseases,A30-A49,Infection Markers
Other bacterial diseases,A30-A49,Microbiology/Infection
Other bacterial diseases,A30-A49,Others
Infections with a predominantly sexual mode of transmission,A50-A64,Infection Markers
Infections with a predominantly sexual mode of transmission,A50-A64,Microbiology/Infection
Infections with a predominantly sexual mode of transmission,A50-A64,Others
Other spirochaetal diseases,A65-A69,Infection Markers
Other spirochaetal diseases,A65-A69,Microbiology/Infection
Other diseases caused by chlamydiae,A70-A74,Infection Markers
Other diseases caused by chlamydiae,A70-A74,Microbiology/Infection
Rickettsioses,A75-A79,Infection Markers
Rickettsioses,A75-A79,Microbiology/Infection
Rickettsioses,A75-A79,Others
Viral infections of the central nervous system,A80-A89,Infection Markers
Viral infections of the central nervous system,A80-A89,Microbiology/Infection
Viral infections of the central nervous system,A80-A89,Others
Arthropod-borne viral fevers and viral haemorrhagic fevers,A92-A99,Infection Markers
Arthropod-borne viral fevers and viral haemorrhagic fevers,A92-A99,Microbiology/Infection
Arthropod-borne viral fevers and viral haemorrhagic fevers,A92-A99,Others
Viral infections characterized by skin and mucous membrane lesions,B00-B09,Infection Markers
Viral infections characterized by skin and mucous membrane lesions,B00-B09,Microbiology/Infection
Viral infections characterized by skin and mucous membrane lesions,B00-B09,Others
Viral hepatitis,B15-B19,Infection Markers
Viral hepatitis,B15-B19,Liver Function
Viral hepatitis,B15-B19,Microbiology/Infection
Viral hepatitis,B15-B19,Others
Human immunodeficiency virus [HIV] disease,B20-B24,Infection Markers
Human immunodeficiency virus [HIV] disease,B20-B24,Microbiology/Infection
Human immunodeficiency virus [HIV] disease,B20-B24,Others
Other viral diseases,B25-B34,Infection Markers
Other viral diseases,B25-B34,Microbiology/Infection
Other viral diseases,B25-B34,Others
Mycoses,B35-B49,Infection Markers
Mycoses,B35-B49,Microbiology/Infection
Mycoses,B35-B49,Others
Protozoal diseases,B50-B64,Infection Markers
Protozoal diseases,B50-B64,Microbiology/Infection
Protozoal diseases,B50-B64,Others
Helminthiases,B65-B83,Infection Markers
Helminthiases,B65-B83,Microbiology/Infection
Helminthiases,B65-B83,Others
"Pediculosis, acariasis and other infestations",B85-B89,Infection Markers
"Pediculosis, acariasis and other infestations",B85-B89,Microbiology/Infection
"Pediculosis, acariasis and other infestations",B85-B89,Others
Sequelae of infectious and parasitic diseases,B90-B94,Infection Markers
Sequelae of infectious and parasitic diseases,B90-B94,Microbiology/Infection
Sequelae of infectious and parasitic diseases,B90-B94,Others
"Bacterial, viral and other infectious agents",B95-B98,Infection Markers
"Bacterial, viral and other infectious agents",B95-B98,Microbiology/Infection
Other infectious diseases,B99,Infection Markers
Other infectious diseases,B99,Microbiology/Infection
Other infectious diseases,B99,Others
"Malignant neoplasms of lip, oral cavity and pharynx",C00-C14,Others
"Malignant neoplasms of lip, oral cavity and pharynx",C00-C14,Tumor Markers
Malignant neoplasms,C00-C97,Others
Malignant neoplasms,C00-C97,Tumor Markers
Malignant neoplasms of digestive organs,C15-C26,GI Markers
Malignant neoplasms of digestive organs,C15-C26,Others
Malignant neoplasms of digestive organs,C15-C26,Tumor Markers
Malignant neoplasms of respiratory and intrathoracic organs,C30-C39,Others
Malignant neoplasms of respiratory and intrathoracic organs,C30-C39,Tumor Markers
Malignant neoplasms of bone and articular cartilage,C40-C41,Others
Malignant neoplasms of bone and articular cartilage,C40-C41,Tumor Markers
Melanoma and other malignant neoplasms of skin,C43-C44,Others
Melanoma and other malignant neoplasms of skin,C43-C44,Tumor Markers
Malignant neoplasms of mesothelial and soft tissue,C45-C49,Others
Malignant neoplasms of mesothelial and soft tissue,C45-C49,Tumor Markers
Malignant neoplasm of breast,C50,Others
Malignant neoplasm of breast,C50,Tumor Markers
Malignant neoplasms of female genital organs,C51-C58,Others
Malignant neoplasms of female genital organs,C51-C58,Tumor Markers
Malignant neoplasms of male genital organs,C60-C63,Others
Malignant neoplasms of male genital organs,C60-C63,Tumor Markers
Malignant neoplasms of urinary tract,C64-C68,Others
Malignant neoplasms of urinary tract,C64-C68,Tumor Markers
"Malignant neoplasms of eye, brain and other parts of central nervous system",C69-C72,Others
"Malignant neoplasms of eye, brain and other parts of central nervous system",C69-C72,Tumor Markers
Malignant neoplasms of thyroid and other endocrine glands,C73-C75,Endocrine
Malignant neoplasms of thyroid and other endocrine glands,C73-C75,Others
Malignant neoplasms of thyroid and other endocrine glands,C73-C75,Tumor Markers
"Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,Others
"Malignant neoplasms of ill-defined, secondary and unspecified sites",C76-C80,Tumor Markers
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C81-C96,Cell Count
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C81-C96,Hematology
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C81-C96,Others
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",C81-C96,Tumor Markers
In situ neoplasms,D00-D09,Others
In situ neoplasms,D00-D09,Tumor Markers
Benign neoplasms,D10-D36,Others
Benign neoplasms,D10-D36,Tumor Markers
Neoplasms of uncertain or unknown behaviour,D37-D48,Others
Neoplasms of uncertain or unknown behaviour,D37-D48,Tumor Markers
Nutritional anaemias,D50-D53,Hematology
Nutritional anaemias,D50-D53,Others
Nutritional anaemias,D50-D53,Vitamins/Nutrients
Haemolytic anaemias,D55-D59,Cell Count
Haemolytic anaemias,D55-D59,Hematology
Haemolytic anaemias,D55-D59,Others
Aplastic and other anaemias,D60-D64,Cell Count
Aplastic and other anaemias,D60-D64,Hematology
Aplastic and other anaemias,D60-D64,Others
"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,Cell Count
"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,Coagulation
"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,Hematology
"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,Others
Other diseases of blood and blood-forming organs,D70-D77,Cell Count
Other diseases of blood and blood-forming organs,D70-D77,Hematology
Other diseases of blood and blood-forming organs,D70-D77,Others
Certain disorders involving the immune mechanism,D80-D89,Hematology
Certain disorders involving the immune mechanism,D80-D89,Others
Certain disorders involving the immune mechanism,D80-D89,Rheumatology
Disorders of thyroid gland,E00-E07,Endocrine
Disorders of thyroid gland,E00-E07,Others
Diabetes mellitus,E10-E14,Cell Count
Diabetes mellitus,E10-E14,Electrolytes
Diabetes mellitus,E10-E14,Endocrine
Diabetes mellitus,E10-E14,Metabolic
Diabetes mellitus,E10-E14,Others
Diabetes mellitus,E10-E14,Renal Function
Diabetes mellitus,E10-E14,Urinalysis
Diabetes mellitus,E10-E14,Vitamins/Nutrients
Other disorders of glucose regulation and pancreatic internal secretion,E15-E16,Endocrine
Other disorders of glucose regulation and pancreatic internal secretion,E15-E16,Metabolic
Other disorders of glucose regulation and pancreatic internal secretion,E15-E16,Others
Disorders of other endocrine glands,E20-E35,Endocrine
Malnutrition,E40-E46,Cell Count
Malnutrition,E40-E46,Electrolytes
Malnutrition,E40-E46,GI Markers
Malnutrition,E40-E46,Hematology
Malnutrition,E40-E46,Metabolic
Malnutrition,E40-E46,Others
Malnutrition,E40-E46,Renal Function
Malnutrition,E40-E46,Vitamins/Nutrients
Other nutritional deficiencies,E50-E64,Others
Other nutritional deficiencies,E50-E64,Vitamins/Nutrients
Obesity and other hyperalimentation,E65-E68,Endocrine
Obesity and other hyperalimentation,E65-E68,Metabolic
Obesity and other hyperalimentation,E65-E68,Others
Obesity and other hyperalimentation,E65-E68,Vitamins/Nutrients
Metabolic disorders,E70-E90,Electrolytes
Metabolic disorders,E70-E90,Endocrine
Metabolic disorders,E70-E90,GI Markers
Metabolic disorders,E70-E90,Liver Function
Metabolic disorders,E70-E90,Metabolic
Metabolic disorders,E70-E90,Others
Metabolic disorders,E70-E90,Renal Function
Metabolic disorders,E70-E90,Vitamins/Nutrients
"Organic, including symptomatic, mental disorders",F00-F09,Others
Mental and behavioural disorders due to psychoactive substance use,F10-F19,Others
Mental and behavioural disorders due to psychoactive substance use,F10-F19,Toxicology/Drug Level
"Schizophrenia, schizotypal and delusional disorders",F20-F29,Others
Mood [affective] disorders,F30-F39,Others
"Neurotic, stress-related and somatoform disorders",F40-F48,Others
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Cell Count
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Electrolytes
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Endocrine
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,GI Markers
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Metabolic
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Others
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Urinalysis
Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Vitamins/Nutrients
Disorders of adult personality and behaviour,F60-F69,Others
Mental retardation,F70-F79,Others
Disorders of psychological development,F80-F89,Others
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F90-F98,Others
Unspecified mental disorder,F99,Others
Inflammatory diseases of the central nervous system,G00-G09,Infection Markers
Inflammatory diseases of the central nervous system,G00-G09,Microbiology/Infection
Inflammatory diseases of the central nervous system,G00-G09,Others
Systemic atrophies primarily affecting the central nervous system,G10-G14,Others
Extrapyramidal and movement disorders,G20-G26,Others
